Airlines,January,February,March,April,May,June
Air Asia,17.0,0.0,6.0,8.0,4.0,2.0
Go First,88.0,23.0,9.0,32.0,20.0,14.0
Indigo,247.0,61.0,69.0,50.0,38.0,890.0
Jetlite,17.0,15.0,4.0,9.0,10.0,2.0
Spice Jet,74.0,34.0,28.0,35.0,38.0,27.0
Jet Airways,81.0,13.0,12.0,53.0,38.0,20.0
Vistara,26.0,2.0,3.0,8.0,0.0,0.0
Air India,175.0,35.0,92.0,60.0,34.0,150.0
Air India,190.0,85.0,101.0,117.0,130.0,299.0
Air Asia,6.0,4.0,2.0,8.0,0.0,12.0
Go First,33.0,66.0,50.0,8.0,47.0,61.0
Indigo,556.0,365.0,658.0,128.0,117.0,65.0
Jet Airways,105.0,13.0,46.0,9.0,68.0,88.0
Jetlite,27.0,17.0,34.0,0.0,12.0,2.0
Spice Jet,62.0,21.0,39.0,56.0,47.0,49.0
Vistara,15.0,4.0,0.0,0.0,18.0,20.0
Air India,322.0,248.0,298.0,130.0,111.0,91.0
Air Asia,5.0,89.0,28.0,0.0,18.0,114.0
Go First,55.0,37.0,3.0,2.0,27.0,17.0
Indigo,922.0,645.0,66.0,43.0,383.0,39.0
Jet Airways,179.0,197.0,105.0,229.0,,
Jetlite,20.0,0.0,77.0,72.0,,
Spice Jet,109.0,125.0,115.0,84.0,65.0,88.0
Vistara,20.0,26.0,3.0,13.0,25.0,54.0
Air Asia,30.0,8.0,206.0,,0.0,0.0
Air India,504.0,237.0,1344.0,,114.0,197.0
Go First,116.0,12.0,882.0,,0.0,27.0
Indigo,435.0,75.0,1588.0,,19.0,192.0
Spice Jet,192.0,74.0,48.0,,0.0,12.0
Vistara,32.0,24.0,520.0,,0.0,233.0
Air Asia,8.0,15.0,4.0,38.0,32.0,18.0
Air India,196.0,100.0,260.0,549.0,1368.0,260.0
Alliance Air,,,,,,
Go First,86.0,9.0,3.0,4.0,2.0,2.0
Indigo,471.0,145.0,320.0,748.0,513.0,303.0
Spice Jet,216.0,87.0,27.0,30.0,39.0,39.0
Vistara,89.0,17.0,47.0,138.0,150.0,32.0
Air Asia,26.0,8.0,25.0,0.0,30.0,11.0
Air India,107.0,26.0,5.0,3.0,17.0,12.0
Akasa Air,,,,,,
Alliance Air,99.0,33.0,19.0,0.0,33.0,56.0
Go First,2.0,0.0,7.0,1.0,6.0,9.0
Indigo,535.0,59.0,136.0,41.0,607.0,294.0
Spice Jet,142.0,41.0,31.0,20.0,119.0,71.0
Vistara,106.0,61.0,16.0,1.0,23.0,20.0
Air Asia,20.0,0.0,2.0,0.0,2.0,2.0
Air India,38.0,7.0,17.0,1.0,13.0,125.0
Akasa Air,2.0,1.0,0.0,0.0,0.0,0.0
Alliance Air,73.0,45.0,43.0,277.0,75.0,54.0
Go First,3.0,2.0,2.0,4.0,4.0,0.0
Indigo,1025.0,87.0,148.0,81.0,160.0,212.0
Spice Jet,47.0,34.0,13.0,29.0,26.0,18.0
Vistara,46.0,7.0,7.0,3.0,4.0,2.0
